Epoch,Accuracy,Loss,F1 Score,Validation Accuracy,Validation Loss,Validation F1 Score,Time (seconds)
1,1.0,1.5227925864724767e-10,1.0,0.786201000213623,4.663852214813232,0.7858952283859253,92.29860210418701
2,1.0,2.7917865241811057e-10,1.0,0.7836456298828125,5.044519901275635,0.7826576232910156,91.68917536735535
3,0.9882903695106506,0.08215855807065964,0.9883078336715698,0.7597955465316772,2.0937721729278564,0.759712815284729,91.27032971382141
4,0.9989354610443115,0.004241022281348705,0.9989370703697205,0.7853492498397827,1.6798205375671387,0.7857544422149658,107.62219524383545
5,0.9998935461044312,0.00031060492619872093,0.9998937249183655,0.7734242081642151,2.284165620803833,0.772522509098053,128.284343957901
6,1.0,6.242026574909687e-05,1.0,0.7815161943435669,2.2439513206481934,0.7812499403953552,125.1980893611908
7,1.0,2.8888647648273036e-05,1.0,0.7823679447174072,2.265406370162964,0.7835022211074829,127.36108160018921
8,1.0,2.0179977582301944e-05,1.0,0.7823679447174072,2.3322818279266357,0.7799830436706543,127.60505604743958
9,1.0,1.5231316865538247e-05,1.0,0.7823679447174072,2.3686344623565674,0.7835022211074829,123.02410674095154
10,1.0,1.1807611372205429e-05,1.0,0.7827938795089722,2.42470383644104,0.783220648765564,124.41345596313477
11,1.0,9.313498594565317e-06,1.0,0.7819420695304871,2.465778350830078,0.7816722393035889,128.56447005271912
12,1.0,7.457385436282493e-06,1.0,0.7819420695304871,2.511706590652466,0.7816722393035889,125.79847884178162
13,1.0,5.991422767692711e-06,1.0,0.7823679447174072,2.552849054336548,0.7806868553161621,126.91252613067627
14,1.0,4.826929853152251e-06,1.0,0.7832197546958923,2.590233325958252,0.7836429476737976,127.75566053390503
15,1.0,3.9527940316475e-06,1.0,0.7836456298828125,2.645982503890991,0.7826576232910156,128.23619961738586
16,1.0,3.2082605230243644e-06,1.0,0.7870528101921082,2.6868319511413574,0.788147509098053,129.06047201156616
17,1.0,2.6658751721697627e-06,1.0,0.7879046201705933,2.7428555488586426,0.7882882356643677,127.74853706359863
18,1.0,2.0852719444519607e-06,1.0,0.786626935005188,2.890592336654663,0.7856137156486511,123.55697345733643
19,1.0,1.6711932175894617e-06,1.0,0.786201000213623,2.856109857559204,0.7858952283859253,126.13993072509766
20,1.0,1.2878786037617829e-06,1.0,0.7853492498397827,3.0675225257873535,0.7843468189239502,128.2687976360321
21,1.0,1.1175216059200466e-06,1.0,0.7900340557098389,3.0476720333099365,0.7903997302055359,127.25832319259644
22,1.0,6.269215191423427e-07,1.0,0.7900340557098389,3.099174976348877,0.7903997302055359,128.5686957836151
23,1.0,5.551434014705592e-07,1.0,0.7879046201705933,3.2200887203216553,0.7882882356643677,127.65649938583374
24,1.0,4.644633690986666e-07,1.0,0.7887563705444336,3.128115177154541,0.7870213389396667,128.60176420211792
25,1.0,3.3656584719210514e-07,1.0,0.7883304953575134,3.3770151138305664,0.7880067229270935,126.8928554058075
26,1.0,2.1760497759260033e-07,1.0,0.786626935005188,3.418887138366699,0.7870213389396667,127.46504712104797
27,1.0,1.8227672171633458e-07,1.0,0.786201000213623,3.568950891494751,0.7865990400314331,126.35567903518677
28,1.0,1.820729522705733e-07,1.0,0.7832197546958923,3.4023988246917725,0.7836429476737976,127.77881240844727
29,1.0,1.4746814258614904e-07,1.0,0.7853492498397827,3.551525831222534,0.785050630569458,128.0424346923828
30,1.0,1.1422154955198494e-07,1.0,0.786626935005188,3.503566026687622,0.7870213389396667,128.2619707584381
31,1.0,9.351175123128996e-08,1.0,0.7836456298828125,3.7352969646453857,0.7833614349365234,127.82731580734253
32,1.0,9.752157126285965e-08,1.0,0.786626935005188,3.464747905731201,0.7863175272941589,128.06347751617432
33,1.0,7.692612058463055e-08,1.0,0.7879046201705933,3.693645477294922,0.7882882356643677,128.73679113388062
34,1.0,5.4896577950103165e-08,1.0,0.7849233150482178,3.89766263961792,0.7867398262023926,127.63118934631348
35,1.0,5.724411877849889e-08,1.0,0.7887563705444336,3.5575673580169678,0.789132833480835,128.1157042980194
36,1.0,4.666082986659603e-08,1.0,0.7870528101921082,3.9393317699432373,0.7867398262023926,126.9011721611023
37,1.0,3.9008813956797894e-08,1.0,0.7844974398612976,3.946176052093506,0.7842060327529907,127.35246539115906
38,1.0,4.130560782300563e-08,1.0,0.7844974398612976,3.8886098861694336,0.7835022211074829,126.84558510780334
39,1.0,3.1851726589593454e-08,1.0,0.786201000213623,3.9765613079071045,0.7858952283859253,124.97681665420532
40,1.0,2.7499073240733196e-08,1.0,0.7836456298828125,3.855912208557129,0.7826576232910156,127.11859035491943
41,1.0,2.4339282589380673e-08,1.0,0.7832197546958923,4.067656993865967,0.7829391360282898,127.65541362762451
42,1.0,2.1864753563249906e-08,1.0,0.7798126339912415,3.9654839038848877,0.7816722393035889,126.09498381614685
43,1.0,1.8895313758093835e-08,1.0,0.7823679447174072,4.151391506195068,0.7827983498573303,126.56416130065918
44,1.0,1.6522296419907434e-08,1.0,0.7832197546958923,4.049088954925537,0.782235324382782,126.60009479522705
45,1.0,1.5139091757987444e-08,1.0,0.7819420695304871,4.045965194702148,0.7830799221992493,126.44118928909302
46,1.0,1.4225415512214568e-08,1.0,0.7802385091781616,4.169300079345703,0.7806868553161621,126.73360586166382
47,1.0,1.2867593213172768e-08,1.0,0.7819420695304871,4.244545936584473,0.7816722393035889,127.49159336090088
48,1.0,1.082451550615815e-08,1.0,0.7819420695304871,4.259852886199951,0.780968427658081,129.08518242835999
49,1.0,9.8347010535349e-09,1.0,0.7819420695304871,4.154507637023926,0.7830799221992493,128.1789150238037
50,1.0,8.502257564657612e-09,1.0,0.7819420695304871,4.207228183746338,0.780968427658081,128.5637412071228
51,1.0,8.22307910652853e-09,1.0,0.7802385091781616,4.28322172164917,0.7813907265663147,128.39463472366333
52,1.0,6.624147452782836e-09,1.0,0.7819420695304871,4.373085021972656,0.7830799221992493,127.38351559638977
53,1.0,6.027720989010277e-09,1.0,0.7810903191566467,4.380972385406494,0.7815314531326294,129.25336480140686
54,1.0,5.634332111981166e-09,1.0,0.7798126339912415,4.41994571685791,0.7781530618667603,129.3448669910431
55,1.0,5.025215354947932e-09,1.0,0.7802385091781616,4.410553455352783,0.7806868553161621,128.62721014022827
56,1.0,4.530308128636307e-09,1.0,0.7832197546958923,4.4547200202941895,0.7836429476737976,128.7902238368988
57,1.0,4.339959058796694e-09,1.0,0.7789608240127563,4.632169723510742,0.7794199585914612,127.3183708190918
58,1.0,3.87043108673879e-09,1.0,0.7819420695304871,4.543090343475342,0.7823760509490967,128.01239347457886
59,1.0,3.312073726391418e-09,1.0,0.7827938795089722,4.4547343254089355,0.7818130254745483,128.36434412002563
60,1.0,2.9059958883692616e-09,1.0,0.7823679447174072,4.586971282958984,0.7835022211074829,128.24192881584167
61,1.0,2.690266898142113e-09,1.0,0.7793866991996765,4.599910259246826,0.7805461287498474,127.16259336471558
62,1.0,2.3222586076343532e-09,1.0,0.7823679447174072,4.613624095916748,0.7820945382118225,124.0734589099884
63,1.0,2.068459847848203e-09,1.0,0.7840715646743774,4.6214399337768555,0.7823760509490967,121.15516591072083
64,1.0,1.966940388342664e-09,1.0,0.7793866991996765,4.774920463562012,0.7798422574996948,120.43545079231262
65,1.0,1.6877617081689777e-09,1.0,0.7798126339912415,4.757959842681885,0.7802645564079285,121.58286666870117
66,1.0,1.6623818988037442e-09,1.0,0.7827938795089722,4.645867347717285,0.7846283316612244,120.05735158920288
67,1.0,1.4593428687703636e-09,1.0,0.7836456298828125,4.712208271026611,0.7854729294776917,119.98794937133789
68,1.0,1.1928541487904454e-09,1.0,0.7789608240127563,5.0553879737854,0.7794199585914612,119.47179388999939
69,1.0,1.1928541487904454e-09,1.0,0.7810903191566467,4.9381561279296875,0.7829391360282898,112.63995480537415
70,1.0,1.0786447290911383e-09,1.0,0.7793866991996765,4.92116117477417,0.779138445854187,94.9223325252533
71,1.0,9.263654843216784e-10,1.0,0.7793866991996765,5.018401622772217,0.779138445854187,96.36263108253479
72,1.0,9.009856194452937e-10,1.0,0.7781090140342712,5.132966995239258,0.7757600545883179,92.18054342269897
73,1.0,7.740861285299161e-10,1.0,0.7793866991996765,4.815431118011475,0.7770269513130188,91.67298126220703
74,1.0,6.471868596591435e-10,1.0,0.7793866991996765,5.17013692855835,0.779138445854187,91.42787861824036
75,1.0,1.0659546578750678e-09,1.0,0.7810903191566467,4.927273750305176,0.782235324382782,91.33414721488953
76,1.0,5.710472095188379e-10,1.0,0.776831328868866,5.590239524841309,0.7751970291137695,91.90688991546631
77,1.0,6.471868041479922e-10,1.0,0.7785349488258362,5.289454460144043,0.7789976596832275,91.76302194595337
78,1.0,6.091169235666882e-10,1.0,0.7789608240127563,5.124738693237305,0.7780123353004456,91.15370774269104
79,1.0,4.695276945021476e-10,1.0,0.7776831388473511,5.583691120147705,0.7760416269302368,90.28471803665161
80,1.0,5.329773289375339e-10,1.0,0.7776831388473511,5.51210355758667,0.7788569331169128,91.12098693847656
81,1.0,3.0455851729449535e-10,1.0,0.7785349488258362,5.529383659362793,0.7775900363922119,89.2480080127716
82,0.986480712890625,0.07947514951229095,0.9865008592605591,0.7687393426895142,2.0796215534210205,0.7692848443984985,89.43985056877136
83,0.9931871294975281,0.025397541001439095,0.9931972622871399,0.7355195879936218,2.8076717853546143,0.736345648765564,89.5412666797638
84,0.9997870922088623,0.001760060084052384,0.9997873902320862,0.790885865688324,1.9410682916641235,0.7912443280220032,89.14209651947021
85,1.0,0.00016588956350460649,1.0,0.7874786853790283,2.047567844390869,0.7885698080062866,90.05229640007019
86,1.0,6.0388647398212925e-05,1.0,0.7870528101921082,2.147397518157959,0.7874436378479004,89.53725457191467
87,1.0,3.05129105981905e-05,1.0,0.7874786853790283,2.1771199703216553,0.7885698080062866,90.6098039150238
88,1.0,1.8342994735576212e-05,1.0,0.7874786853790283,2.1851110458374023,0.7871621251106262,88.84804105758667
89,1.0,1.1155939318996388e-05,1.0,0.7857751250267029,2.247354745864868,0.7861767411231995,89.5225784778595
90,1.0,6.776081136194989e-06,1.0,0.786626935005188,2.256145715713501,0.7863175272941589,89.91958498954773
91,1.0,4.885811449639732e-06,1.0,0.786201000213623,2.2997119426727295,0.7865990400314331,89.55626893043518
92,1.0,3.6987730709370226e-06,1.0,0.786626935005188,2.3310701847076416,0.7863175272941589,90.2118616104126
93,1.0,2.795002046696027e-06,1.0,0.7853492498397827,2.370575189590454,0.7843468189239502,89.5121898651123
94,1.0,2.0985853552701883e-06,1.0,0.7857751250267029,2.3856942653656006,0.7861767411231995,89.3861780166626
95,1.0,1.6127198705362389e-06,1.0,0.7823679447174072,2.416778087615967,0.7827983498573303,89.63631987571716
96,1.0,1.2737639281112934e-06,1.0,0.7827938795089722,2.4184675216674805,0.783220648765564,90.05806374549866
97,1.0,1.050995251716813e-06,1.0,0.7806643843650818,2.453200340270996,0.7804053425788879,90.64100813865662
98,1.0,8.618436595497769e-07,1.0,0.7798126339912415,2.483041763305664,0.7795607447624207,90.49380159378052
99,1.0,7.146531402213441e-07,1.0,0.7793866991996765,2.487849235534668,0.7798422574996948,89.79650163650513
100,1.0,5.99092686570657e-07,1.0,0.7793866991996765,2.5044922828674316,0.7805461287498474,89.94762516021729
